GO:0000014	GO:0004520
GO:0001882	GO:0097367
GO:0001882	GO:1901363
GO:0001883	GO:0001882
GO:0001965	GO:0005515
GO:0001968	GO:0005515
GO:0001972	GO:0005501
GO:0001972	GO:0033293
GO:0001972	GO:0043177
GO:0002020	GO:0019899
GO:0002039	GO:0005515
GO:0002060	GO:0002054
GO:0002151	GO:0003723
GO:0002153	GO:0003727
GO:0002161	GO:0052689
GO:0002161	GO:0140101
GO:0002162	GO:0005515
GO:0002196	GO:0002161
GO:0002953	GO:0016791
GO:0003674	all
GO:0003676	GO:0097159
GO:0003676	GO:1901363
GO:0003677	GO:0003676
GO:0003678	GO:0004386
GO:0003678	GO:0008094
GO:0003680	GO:0000217
GO:0003682	GO:0005488
GO:0003684	GO:0003677
GO:0003688	GO:1990837
GO:0003689	GO:0008094
GO:0003690	GO:0003677
GO:0003691	GO:0003690
GO:0003691	GO:0042162
GO:0003696	GO:1990837
GO:0003697	GO:0003677
GO:0003700	GO:0140110
GO:0003707	GO:0038023
GO:0003711	GO:0140110
GO:0003712	GO:0140110
GO:0003713	GO:0003712
GO:0003714	GO:0003712
GO:0003723	GO:0003676
GO:0003724	GO:0004386
GO:0003724	GO:0008186
GO:0003724	GO:0140098
GO:0003725	GO:0003723
GO:0003727	GO:0003723
GO:0003729	GO:0003723
GO:0003730	GO:0003729
GO:0003735	GO:0005198
GO:0003743	GO:0008135
GO:0003746	GO:0008135
GO:0003747	GO:0008079
GO:0003755	GO:0016859
GO:0003755	GO:0140096
GO:0003756	GO:0016864
GO:0003756	GO:0140096
GO:0003774	GO:0003674
GO:0003777	GO:0003774
GO:0003777	GO:0140657
GO:0003779	GO:0008092
GO:0003785	GO:0003779
GO:0003824	GO:0003674
GO:0003841	GO:0016411
GO:0003841	GO:0042171
GO:0003842	GO:0016646
GO:0003846	GO:0016411
GO:0003853	GO:0003995
GO:0003857	GO:0016616
GO:0003860	GO:0016289
GO:0003863	GO:0016624
GO:0003872	GO:0008443
GO:0003873	GO:0008443
GO:0003876	GO:0047623
GO:0003880	GO:0051998
GO:0003883	GO:0016879
GO:0003886	GO:0008757
GO:0003886	GO:0009008
GO:0003887	GO:0034061
GO:0003899	GO:0034062
GO:0003906	GO:0004519
GO:0003906	GO:0140097
GO:0003909	GO:0016886
GO:0003909	GO:0140097
GO:0003910	GO:0003909
GO:0003916	GO:0016853
GO:0003916	GO:0140097
GO:0003917	GO:0003916
GO:0003918	GO:0003916
GO:0003918	GO:0008094
GO:0003919	GO:0070566
GO:0003923	GO:0004197
GO:0003924	GO:0017111
GO:0003925	GO:0003924
GO:0003925	GO:0098772
GO:0003938	GO:0016616
GO:0003939	GO:0016616
GO:0003940	GO:0004553
GO:0003941	GO:0016841
GO:0003950	GO:0016763
GO:0003951	GO:0016301
GO:0003951	GO:0016773
GO:0003953	GO:0016799
GO:0003954	GO:0016651
GO:0003955	GO:0016655
GO:0003956	GO:0016763
GO:0003960	GO:0016655
GO:0003963	GO:0009975
GO:0003963	GO:0016886
GO:0003963	GO:0140098
GO:0003968	GO:0034062
GO:0003974	GO:0016857
GO:0003975	GO:0016780
GO:0003976	GO:0016780
GO:0003977	GO:0070569
GO:0003978	GO:0016857
GO:0003980	GO:0035251
GO:0003984	GO:0016744
GO:0003985	GO:0003988
GO:0003985	GO:0016453
GO:0003987	GO:0016405
GO:0003987	GO:0016878
GO:0003988	GO:0016408
GO:0003989	GO:0016421
GO:0003993	GO:0016791
GO:0003994	GO:0016836
GO:0003995	GO:0016627
GO:0003997	GO:0016634
GO:0004000	GO:0016814
GO:0004000	GO:0019239
GO:0004014	GO:0016831
GO:0004021	GO:0047635
GO:0004029	GO:0004030
GO:0004030	GO:0016620
GO:0004032	GO:0008106
GO:0004033	GO:0016616
GO:0004043	GO:0016620
GO:0004045	GO:0052689
GO:0004045	GO:0140101
GO:0004046	GO:0016811
GO:0004047	GO:0008168
GO:0004056	GO:0016842
GO:0004057	GO:0016755
GO:0004064	GO:0052689
GO:0004066	GO:0016884
GO:0004069	GO:0008483
GO:0004070	GO:0016743
GO:0004074	GO:0016628
GO:0004081	GO:0008796
GO:0004083	GO:0034416
GO:0004084	GO:0008483
GO:0004085	GO:0052890
GO:0004087	GO:0016879
GO:0004088	GO:0016884
GO:0004090	GO:0016616
GO:0004109	GO:0016634
GO:0004111	GO:0016301
GO:0004111	GO:0016775
GO:0004123	GO:0016846
GO:0004126	GO:0016814
GO:0004126	GO:0019239
GO:0004128	GO:0016653
GO:0004129	GO:0009055
GO:0004129	GO:0015078
GO:0004129	GO:0015453
GO:0004129	GO:0016675
GO:0004129	GO:0022853
GO:0004132	GO:0016814
GO:0004132	GO:0019239
GO:0004133	GO:0003824
GO:0004134	GO:0004133
GO:0004134	GO:0016758
GO:0004135	GO:0004133
GO:0004135	GO:0090599
GO:0004139	GO:0016832
GO:0004140	GO:0016301
GO:0004140	GO:0016773
GO:0004143	GO:0016301
GO:0004143	GO:0016773
GO:0004144	GO:0016411
GO:0004146	GO:0016646
GO:0004149	GO:0016751
GO:0004149	GO:0140096
GO:0004151	GO:0016812
GO:0004152	GO:0016635
GO:0004161	GO:0004659
GO:0004164	GO:0008757
GO:0004165	GO:0016863
GO:0004169	GO:0000030
GO:0004169	GO:0140096
GO:0004174	GO:0009055
GO:0004174	GO:0016649
GO:0004175	GO:0008233
GO:0004176	GO:0008233
GO:0004176	GO:0140657
GO:0004177	GO:0008238
GO:0004180	GO:0008238
GO:0004181	GO:0004180
GO:0004181	GO:0008235
GO:0004185	GO:0004180
GO:0004185	GO:0070008
GO:0004190	GO:0004175
GO:0004190	GO:0070001
GO:0004197	GO:0004175
GO:0004197	GO:0008234
GO:0004198	GO:0004197
GO:0004222	GO:0004175
GO:0004222	GO:0008237
GO:0004252	GO:0004175
GO:0004252	GO:0008236
GO:0004298	GO:0004175
GO:0004298	GO:0070003
GO:0004300	GO:0016836
GO:0004301	GO:0016803
GO:0004303	GO:0033764
GO:0004306	GO:0070567
GO:0004308	GO:0016997
GO:0004311	GO:0004659
GO:0004315	GO:0004312
GO:0004322	GO:0016724
GO:0004324	GO:0008937
GO:0004329	GO:0016879
GO:0004331	GO:0050308
GO:0004334	GO:0016823
GO:0004335	GO:0016773
GO:0004335	GO:0019200
GO:0004337	GO:0004659
GO:0004340	GO:0004396
GO:0004342	GO:0016861
GO:0004342	GO:0019239
GO:0004343	GO:0008080
GO:0004345	GO:0016616
GO:0004348	GO:0004553
GO:0004359	GO:0016811
GO:0004360	GO:0070548
GO:0004361	GO:0003995
GO:0004362	GO:0015038
GO:0004362	GO:0016209
GO:0004362	GO:0047134
GO:0004363	GO:0016881
GO:0004364	GO:0016765
GO:0004368	GO:0016901
GO:0004372	GO:0016742
GO:0004373	GO:0035251
GO:0004379	GO:0016410
GO:0004379	GO:0019107
GO:0004385	GO:0050145
GO:0004386	GO:0140640
GO:0004386	GO:0140657
GO:0004392	GO:0016712
GO:0004396	GO:0016773
GO:0004396	GO:0019200
GO:0004402	GO:0061733
GO:0004407	GO:0016811
GO:0004407	GO:0033558
GO:0004415	GO:0015929
GO:0004416	GO:0016790
GO:0004422	GO:0106130
GO:0004427	GO:0016462
GO:0004430	GO:0052742
GO:0004435	GO:0004629
GO:0004438	GO:0052744
GO:0004439	GO:0034595
GO:0004439	GO:0106019
GO:0004445	GO:0046030
GO:0004449	GO:0004448
GO:0004452	GO:0016863
GO:0004459	GO:0004457
GO:0004459	GO:0016616
GO:0004463	GO:0016803
GO:0004464	GO:0016846
GO:0004467	GO:0015645
GO:0004467	GO:0016405
GO:0004470	GO:0016615
GO:0004471	GO:0004470
GO:0004471	GO:0016616
GO:0004473	GO:0004470
GO:0004473	GO:0016616
GO:0004474	GO:0046912
GO:0004476	GO:0016861
GO:0004477	GO:0019238
GO:0004478	GO:0016765
GO:0004482	GO:0008170
GO:0004482	GO:0008174
GO:0004483	GO:0008171
GO:0004483	GO:0008174
GO:0004485	GO:0016421
GO:0004486	GO:0016646
GO:0004487	GO:0004486
GO:0004488	GO:0004486
GO:0004491	GO:0016620
GO:0004494	GO:0016866
GO:0004497	GO:0016491
GO:0004505	GO:0016714
GO:0004512	GO:0016872
GO:0004514	GO:0016763
GO:0004516	GO:0016879
GO:0004518	GO:0016788
GO:0004519	GO:0004518
GO:0004520	GO:0004519
GO:0004520	GO:0004536
GO:0004521	GO:0004519
GO:0004521	GO:0004540
GO:0004523	GO:0016891
GO:0004525	GO:0016891
GO:0004525	GO:0032296
GO:0004526	GO:0004549
GO:0004526	GO:0016891
GO:0004527	GO:0004518
GO:0004530	GO:0016888
GO:0004532	GO:0004527
GO:0004532	GO:0004540
GO:0004534	GO:0008409
GO:0004534	GO:0016896
GO:0004535	GO:0000175
GO:0004540	GO:0004518
GO:0004540	GO:0140098
GO:0004549	GO:0004540
GO:0004549	GO:0140101
GO:0004550	GO:0016776
GO:0004550	GO:0019205
GO:0004553	GO:0016798
GO:0004557	GO:0015925
GO:0004558	GO:0090599
GO:0004559	GO:0015923
GO:0004560	GO:0015928
GO:0004561	GO:0015929
GO:0004563	GO:0015929
GO:0004565	GO:0015925
GO:0004566	GO:0004553
GO:0004568	GO:0004553
GO:0004571	GO:0015924
GO:0004572	GO:0015924
GO:0004579	GO:0004576
GO:0004582	GO:0000030
GO:0004588	GO:0016763
GO:0004590	GO:0016831
GO:0004591	GO:0016624
GO:0004594	GO:0016301
GO:0004594	GO:0016773
GO:0004595	GO:0070566
GO:0004596	GO:0034212
GO:0004601	GO:0016209
GO:0004601	GO:0016684
GO:0004602	GO:0004601
GO:0004609	GO:0016831
GO:0004610	GO:0016868
GO:0004611	GO:0016831
GO:0004613	GO:0004611
GO:0004614	GO:0016868
GO:0004615	GO:0016868
GO:0004620	GO:0016298
GO:0004622	GO:0004620
GO:0004622	GO:0052689
GO:0004623	GO:0004620
GO:0004623	GO:0052689
GO:0004629	GO:0004620
GO:0004629	GO:0008081
GO:0004630	GO:0004620
GO:0004630	GO:0008081
GO:0004632	GO:0016881
GO:0004634	GO:0016836
GO:0004637	GO:0016879
GO:0004638	GO:0016831
GO:0004639	GO:0016881
GO:0004641	GO:0016882
GO:0004642	GO:0016884
GO:0004644	GO:0016742
GO:0004645	GO:0016758
GO:0004648	GO:0008483
GO:0004649	GO:0004553
GO:0004652	GO:0070566
GO:0004653	GO:0008376
GO:0004653	GO:0140096
GO:0004656	GO:0019798
GO:0004656	GO:0031545
GO:0004658	GO:0016421
GO:0004659	GO:0016765
GO:0004660	GO:0008318
GO:0004661	GO:0008318
GO:0004662	GO:0004661
GO:0004663	GO:0004661
GO:0004672	GO:0016301
GO:0004672	GO:0016773
GO:0004672	GO:0140096
GO:0004674	GO:0004672
GO:0004676	GO:0004674
GO:0004677	GO:0004674
GO:0004679	GO:0004674
GO:0004683	GO:0004674
GO:0004686	GO:0004683
GO:0004691	GO:0004690
GO:0004693	GO:0004674
GO:0004693	GO:0097472
GO:0004694	GO:0004674
GO:0004694	GO:0045182
GO:0004697	GO:0004674
GO:0004698	GO:0004697
GO:0004698	GO:0009931
GO:0004699	GO:0004697
GO:0004704	GO:0030234
GO:0004705	GO:0004707
GO:0004706	GO:0004709
GO:0004707	GO:0004674
GO:0004709	GO:0004674
GO:0004711	GO:0004674
GO:0004713	GO:0004672
GO:0004714	GO:0004713
GO:0004714	GO:0019199
GO:0004715	GO:0004713
GO:0004721	GO:0016791
GO:0004721	GO:0140096
GO:0004722	GO:0004721
GO:0004723	GO:0004722
GO:0004725	GO:0004721
GO:0004726	GO:0004725
GO:0004727	GO:0004725
GO:0004733	GO:0016641
GO:0004735	GO:0016646
GO:0004736	GO:0016885
GO:0004739	GO:0004738
GO:0004739	GO:0016624
GO:0004740	GO:0004672
GO:0004742	GO:0016418
GO:0004742	GO:0030523
GO:0004742	GO:0140096
GO:0004743	GO:0016773
GO:0004745	GO:0016616
GO:0004748	GO:0061731
GO:0004749	GO:0016778
GO:0004750	GO:0016857
GO:0004766	GO:0016765
GO:0004771	GO:0016298
GO:0004771	GO:0052689
GO:0004775	GO:0004774
GO:0004776	GO:0004774
GO:0004792	GO:0016783
GO:0004794	GO:0016841
GO:0004798	GO:0050145
GO:0004799	GO:0042083
GO:0004806	GO:0016298
GO:0004806	GO:0052689
GO:0004809	GO:0008170
GO:0004809	GO:0016423
GO:0004813	GO:0004812
GO:0004814	GO:0004812
GO:0004815	GO:0004812
GO:0004816	GO:0004812
GO:0004817	GO:0004812
GO:0004819	GO:0004812
GO:0004820	GO:0004812
GO:0004821	GO:0004812
GO:0004822	GO:0004812
GO:0004823	GO:0004812
GO:0004825	GO:0004812
GO:0004828	GO:0004812
GO:0004829	GO:0004812
GO:0004832	GO:0004812
GO:0004835	GO:0016881
GO:0004835	GO:0140096
GO:0004839	GO:0008641
GO:0004842	GO:0019787
GO:0004843	GO:0008242
GO:0004843	GO:0101005
GO:0004849	GO:0019206
GO:0004850	GO:0016763
GO:0004852	GO:0016836
GO:0004853	GO:0016831
GO:0004856	GO:0016773
GO:0004856	GO:0019200
GO:0004857	GO:0030234
GO:0004857	GO:0140678
GO:0004859	GO:0055102
GO:0004860	GO:0019210
GO:0004860	GO:0019887
GO:0004862	GO:0008603
GO:0004862	GO:0030291
GO:0004864	GO:0019212
GO:0004864	GO:0019888
GO:0004866	GO:0030414
GO:0004866	GO:0061135
GO:0004867	GO:0004866
GO:0004869	GO:0004866
GO:0004879	GO:0000981
GO:0004879	GO:0038023
GO:0004879	GO:0098531
GO:0004888	GO:0038023
GO:0004896	GO:0004888
GO:0004896	GO:0140375
GO:0004930	GO:0004888
GO:0005000	GO:0008528
GO:0005001	GO:0004725
GO:0005001	GO:0019198
GO:0005005	GO:0005003
GO:0005006	GO:0004714
GO:0005010	GO:0004714
GO:0005011	GO:0004714
GO:0005035	GO:0004888
GO:0005044	GO:0038024
GO:0005047	GO:0043021
GO:0005048	GO:0042277
GO:0005049	GO:0140142
GO:0005052	GO:0000268
GO:0005055	GO:0098631
GO:0005068	GO:0030159
GO:0005068	GO:0030971
GO:0005078	GO:0035591
GO:0005080	GO:0019901
GO:0005085	GO:0005096
GO:0005092	GO:0030695
GO:0005093	GO:0005092
GO:0005094	GO:0005092
GO:0005095	GO:0030695
GO:0005096	GO:0030695
GO:0005102	GO:0005515
GO:0005105	GO:0005104
GO:0005109	GO:0001664
GO:0005112	GO:0005102
GO:0005123	GO:0032813
GO:0005124	GO:0005102
GO:0005125	GO:0048018
GO:0005134	GO:0005126
GO:0005134	GO:0070851
GO:0005136	GO:0005126
GO:0005136	GO:0070851
GO:0005137	GO:0005126
GO:0005137	GO:0070851
GO:0005138	GO:0005126
GO:0005138	GO:0070851
GO:0005150	GO:0005149
GO:0005154	GO:0070851
GO:0005158	GO:0005102
GO:0005158	GO:0044877
GO:0005159	GO:0005102
GO:0005160	GO:0005126
GO:0005161	GO:0070851
GO:0005163	GO:0005123
GO:0005163	GO:0005165
GO:0005164	GO:0032813
GO:0005168	GO:0005167
GO:0005171	GO:0070851
GO:0005176	GO:0005102
GO:0005178	GO:0005102
GO:0005178	GO:0044877
GO:0005178	GO:0050839
GO:0005179	GO:0048018
GO:0005198	GO:0003674
GO:0005200	GO:0005198
GO:0005201	GO:0005198
GO:0005215	GO:0003674
GO:0005220	GO:0015278
GO:0005225	GO:0005253
GO:0005227	GO:0005261
GO:0005227	GO:0022839
GO:0005244	GO:0015075
GO:0005244	GO:0022832
GO:0005245	GO:0005262
GO:0005245	GO:0022843
GO:0005247	GO:0005254
GO:0005247	GO:0008308
GO:0005254	GO:0005253
GO:0005295	GO:0005283
GO:0005295	GO:0015175
GO:0005310	GO:0046943
GO:0005313	GO:0008514
GO:0005313	GO:0015172
GO:0005313	GO:0015179
GO:0005315	GO:0015291
GO:0005315	GO:0015318
GO:0005316	GO:0005436
GO:0005324	GO:0005319
GO:0005344	GO:0140104
GO:0005381	GO:0046915
GO:0005384	GO:0046915
GO:0005385	GO:0046915
GO:0005388	GO:0015085
GO:0005388	GO:0015662
GO:0005388	GO:0019829
GO:0005391	GO:0008554
GO:0005391	GO:0008556
GO:0005432	GO:0015081
GO:0005432	GO:0015368
GO:0005436	GO:0015370
GO:0005452	GO:0015103
GO:0005452	GO:0015291
GO:0005452	GO:0022853
GO:0005471	GO:0005347
GO:0005471	GO:0015217
GO:0005471	GO:0015301
GO:0005483	GO:0030674
GO:0005484	GO:0030674
GO:0005496	GO:0008289
GO:0005496	GO:0097159
GO:0005504	GO:0008289
GO:0005504	GO:0033293
GO:0005506	GO:0046914
GO:0005507	GO:0046914
GO:0005509	GO:0046872
GO:0005515	GO:0005488
GO:0005516	GO:0005515
GO:0005518	GO:0044877
GO:0005520	GO:0019838
GO:0005521	GO:0005515
GO:0005524	GO:0032559
GO:0005524	GO:0035639
GO:0005525	GO:0032561
GO:0005525	GO:0035639
GO:0005534	GO:0048029
GO:0005536	GO:0048029
GO:0005537	GO:0048029
GO:0005539	GO:0097367
GO:0005540	GO:0005539
GO:0005542	GO:0019842
GO:0005542	GO:0031406
GO:0005542	GO:0033218
GO:0005542	GO:0043177
GO:0005542	GO:0072341
GO:0005542	GO:0097159
GO:0005542	GO:1901363
GO:0005543	GO:0008289
GO:0005544	GO:0005543
GO:0005545	GO:0035091
GO:0005546	GO:0043168
GO:0005546	GO:1902936
GO:0005547	GO:0043168
GO:0005547	GO:1901981
GO:0005548	GO:0005319
GO:0008013	GO:0005515
GO:0008017	GO:0015631
GO:0008022	GO:0005515
GO:0008028	GO:0046943
GO:0008035	GO:0071813
GO:0008046	GO:0004888
GO:0008047	GO:0030234
GO:0008047	GO:0140677
GO:0008061	GO:0097367
GO:0008079	GO:0008135
GO:0008080	GO:0016407
GO:0008080	GO:0016410
GO:0008083	GO:0048018
GO:0008092	GO:0005515
GO:0008093	GO:0030674
GO:0008094	GO:0140097
GO:0008094	GO:0140657
GO:0008097	GO:0019843
GO:0008108	GO:0070569
GO:0008124	GO:0016836
GO:0008127	GO:0016702
GO:0008134	GO:0005515
GO:0008135	GO:0003723
GO:0008135	GO:0090079
GO:0008137	GO:0009055
GO:0008137	GO:0015453
GO:0008137	GO:0050136
GO:0008138	GO:0004721
GO:0008139	GO:0005048
GO:0008140	GO:0140297
GO:0008142	GO:0032934
GO:0008143	GO:0070717
GO:0008157	GO:0019903
GO:0008160	GO:0072542
GO:0008168	GO:0016741
GO:0008170	GO:0008168
GO:0008171	GO:0008168
GO:0008173	GO:0008168
GO:0008173	GO:0140098
GO:0008175	GO:0008173
GO:0008175	GO:0140101
GO:0008176	GO:0016423
GO:0008177	GO:0000104
GO:0008177	GO:0016635
GO:0008184	GO:0004645
GO:0008186	GO:0140657
GO:0008191	GO:0004866
GO:0008194	GO:0016757
GO:0008198	GO:0005506
GO:0008199	GO:0005506
GO:0008200	GO:0016248
GO:0008200	GO:0099106
GO:0008201	GO:0005539
GO:0008201	GO:1901681
GO:0008233	GO:0016787
GO:0008233	GO:0140096
GO:0008234	GO:0008233
GO:0008235	GO:0008237
GO:0008235	GO:0008238
GO:0008236	GO:0008233
GO:0008236	GO:0017171
GO:0008237	GO:0008233
GO:0008240	GO:0070008
GO:0008242	GO:0008233
GO:0008253	GO:0008252
GO:0008265	GO:0016783
GO:0008266	GO:0008187
GO:0008270	GO:0046914
GO:0008276	GO:0008168
GO:0008276	GO:0140096
GO:0008289	GO:0005488
GO:0008296	GO:0008408
GO:0008296	GO:0016895
GO:0008301	GO:0003677
GO:0008307	GO:0005198
GO:0008308	GO:0005244
GO:0008308	GO:0005253
GO:0008310	GO:0008296
GO:0008310	GO:0008297
GO:0008312	GO:0003723
GO:0008320	GO:0022884
GO:0008320	GO:0140318
GO:0008327	GO:0000166
GO:0008327	GO:0043565
GO:0008353	GO:0004674
GO:0008374	GO:0016747
GO:0008375	GO:0008194
GO:0008375	GO:0016758
GO:0008379	GO:0004601
GO:0008379	GO:0051920
GO:0008381	GO:0005216
GO:0008381	GO:0022836
GO:0008384	GO:0004674
GO:0008391	GO:0004497
GO:0008391	GO:0016705
GO:0008408	GO:0004527
GO:0008409	GO:0004527
GO:0008413	GO:0047429
GO:0008417	GO:0016758
GO:0008420	GO:0004722
GO:0008427	GO:0004860
GO:0008427	GO:0010858
GO:0008428	GO:0004857
GO:0008429	GO:0005543
GO:0008431	GO:0019842
GO:0008431	GO:0097159
GO:0008431	GO:1901363
GO:0008432	GO:0019901
GO:0008449	GO:0008484
GO:0008456	GO:0015929
GO:0008457	GO:0008375
GO:0008465	GO:0016616
GO:0008469	GO:0016274
GO:0008469	GO:0042054
GO:0008470	GO:0003995
GO:0008474	GO:0016790
GO:0008474	GO:0098599
GO:0008474	GO:0140096
GO:0008478	GO:0016301
GO:0008478	GO:0016773
GO:0008479	GO:0016763
GO:0008479	GO:0140101
GO:0008484	GO:0016788
GO:0008486	GO:0016462
GO:0008488	GO:0016831
GO:0008494	GO:0090079
GO:0008499	GO:0035250
GO:0008499	GO:0048531
GO:0008509	GO:0015075
GO:0008510	GO:0015370
GO:0008510	GO:0140410
GO:0008511	GO:0009674
GO:0008511	GO:0015378
GO:0008511	GO:0015379
GO:0008514	GO:0008509
GO:0008517	GO:0008514
GO:0008517	GO:0042887
GO:0008517	GO:0046943
GO:0008517	GO:0072349
GO:0008517	GO:0090482
GO:0008519	GO:0022890
GO:0008521	GO:0008514
GO:0008521	GO:0042887
GO:0008521	GO:0071077
GO:0008521	GO:1901682
GO:0008525	GO:0005548
GO:0008526	GO:0120014
GO:0008532	GO:0008375
GO:0008559	GO:0042910
GO:0008559	GO:0140359
GO:0008568	GO:0140096
GO:0008568	GO:0140657
GO:0008569	GO:0003777
GO:0008574	GO:0003777
GO:0008603	GO:0019887
GO:0008607	GO:0019887
GO:0008609	GO:0016765
GO:0008650	GO:0016436
GO:0008650	GO:0062105
GO:0008656	GO:0016505
GO:0008656	GO:0043028
GO:0008670	GO:0016628
GO:0008681	GO:0016705
GO:0008705	GO:0008172
GO:0008705	GO:0042084
GO:0008732	GO:0004793
GO:0008757	GO:0008168
GO:0008775	GO:0008410
GO:0008781	GO:0070567
GO:0008802	GO:0004029
GO:0008803	GO:0008796
GO:0008817	GO:0016765
GO:0008821	GO:0016889
GO:0008823	GO:0016723
GO:0008828	GO:0047429
GO:0008852	GO:0016895
GO:0008865	GO:0004396
GO:0008893	GO:0016794
GO:0008897	GO:0016780
GO:0008934	GO:0052834
GO:0008940	GO:0016661
GO:0008948	GO:0016831
GO:0008963	GO:0016780
GO:0008973	GO:0016868
GO:0008983	GO:0008757
GO:0008983	GO:0051998
GO:0008988	GO:0008170
GO:0008988	GO:0016433
GO:0009000	GO:0016846
GO:0009008	GO:0008168
GO:0009008	GO:0140097
GO:0009019	GO:0016423
GO:0009020	GO:0016423
GO:0009020	GO:0106050
GO:0009032	GO:0016763
GO:0009041	GO:0050145
GO:0009055	GO:0016491
GO:0009374	GO:0019842
GO:0009374	GO:0033218
GO:0009374	GO:0033293
GO:0009374	GO:0043177
GO:0009374	GO:0097159
GO:0009374	GO:1901363
GO:0009374	GO:1901681
GO:0009378	GO:0003678
GO:0009383	GO:0008169
GO:0009383	GO:0016434
GO:0009922	GO:0004312
GO:0009982	GO:0016866
GO:0010181	GO:0032553
GO:0010181	GO:0043168
GO:0010314	GO:1901981
GO:0010485	GO:0004402
GO:0010856	GO:0008047
GO:0010856	GO:0010851
GO:0010945	GO:0016462
GO:0015026	GO:0038023
GO:0015035	GO:0015036
GO:0015035	GO:0140096
GO:0015036	GO:0016667
GO:0015038	GO:0015036
GO:0015039	GO:0016731
GO:0015078	GO:0022890
GO:0015079	GO:0046873
GO:0015085	GO:0046873
GO:0015086	GO:0046915
GO:0015093	GO:0005381
GO:0015095	GO:0046873
GO:0015105	GO:0015103
GO:0015116	GO:0015103
GO:0015116	GO:1901682
GO:0015117	GO:1901682
GO:0015131	GO:0005310
GO:0015131	GO:0015556
GO:0015132	GO:0071714
GO:0015140	GO:0005310
GO:0015140	GO:0015556
GO:0015141	GO:0005310
GO:0015141	GO:0015556
GO:0015143	GO:1901702
GO:0015171	GO:0046943
GO:0015172	GO:0015171
GO:0015173	GO:0015171
GO:0015175	GO:0015171
GO:0015180	GO:0015179
GO:0015180	GO:0022858
GO:0015183	GO:0005310
GO:0015183	GO:0015172
GO:0015183	GO:0015179
GO:0015183	GO:0015556
GO:0015186	GO:0008324
GO:0015186	GO:0008514
GO:0015186	GO:0015175
GO:0015186	GO:0015179
GO:0015190	GO:0008324
GO:0015190	GO:0008514
